gene_id,gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
C1QTNF6,C1QTNF6,205.88326263494437,-0.2890091567298574,0.18137703359822152,0.055877350607468415,0.1522013548886218
SMYD2,SMYD2,302.71753403576054,0.2356214511771986,0.13682125198503237,0.05591699437994838,0.15228078938074416
ALOX12,ALOX12,46.088271507778266,-0.3781509191231793,0.2870600636825237,0.05596821894010104,0.1523917265706012
DMRTA1,DMRTA1,13.43165043519418,-0.397931117332422,0.4919011346853559,0.05598195692473307,0.15240057188672415
ARL1,ARL1,2205.157559005176,-0.17326420595474426,0.09553461979111574,0.05615275538528913,0.15280827551842402
VDAC1,VDAC1,2626.9297652394093,0.1918012929879226,0.10719864675734804,0.05614992200577863,0.15280827551842402
DCLRE1B,DCLRE1B,140.9641956766807,0.2922033914412947,0.1821982180149018,0.05621933850800049,0.15290421702001344
HIP1R,HIP1R,292.62091549751113,-0.27061500502923996,0.16412573557301618,0.05621592735067937,0.15290421702001344
NEDD8,NEDD8,1614.1371568789657,0.15666644618271985,0.0851867175980562,0.056219583407041904,0.15290421702001344
C1D,C1D,253.43984430875253,0.2811001898395238,0.17417359777156913,0.05627357363800759,0.15294284102298233
IL4R,IL4R,458.19692591037153,0.2673436524822076,0.1629285056565091,0.056247403422168364,0.15294284102298233
LINC00657,LINC00657,9395.571256193083,0.13432273168984088,0.07225904758715271,0.05627222548760986,0.15294284102298233
TOP2A,TOP2A,266.847244028811,-0.262140981877645,0.1569339291406564,0.056275891534783094,0.15294284102298233
MFSD11,MFSD11,390.4719367501123,-0.2256954947213882,0.1298589654103961,0.05635418786075588,0.15311724669580182
ZFAND1,ZFAND1,272.03576088018417,-0.22007931221845073,0.12556312324496824,0.056361142221016465,0.15311724669580182
HERC2,HERC2,2535.3157504545734,0.15405245293187253,0.08379053538784324,0.05645334733526544,0.15327907929182874
PSMG4,PSMG4,95.13436519472567,0.31743935691744846,0.20760028356585203,0.05645573622083855,0.15327907929182874
SNPH,SNPH,270.88525937906195,-0.2363849032516636,0.13788857090917372,0.05645706759104105,0.15327907929182874
TEX9,TEX9,45.5211161245824,-0.3710681795619869,0.27507323320787264,0.05646291089337652,0.15327907929182874
FMO1,FMO1,29.789267499612226,0.3534533138869048,0.47041415489417465,0.056503257710156574,0.15335995353462822
ARHGAP18,ARHGAP18,440.6466243260167,0.21381793188372936,0.12161363171295346,0.05663489480793911,0.15368852944799166
SYS1-DBNDD2,SYS1-DBNDD2,18.687909306244297,-0.27341896760895174,0.4369734139359485,0.05669626921921622,0.15382634836339729
MED13L,MED13L,3230.6350649796273,0.15835824767171863,0.08787028770331033,0.05672055203614807,0.15386349897931206
TRAIP,TRAIP,24.210052828466488,-0.4110075050189556,0.3745303856605277,0.05678995481224538,0.15402300792740586
NFKBIL1,NFKBIL1,282.28259254312053,-0.23404708788482995,0.13604703296286852,0.05681745560344821,0.1540688339795631
TMX3,TMX3,2018.7924702567957,-0.1613702775822524,0.08836924782704311,0.05687384989063115,0.15419297724593767
MKNK1,MKNK1,469.47749174291846,0.19476531076769935,0.1087511196949802,0.056884998973687456,0.1541944309866987
