ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0022612,gland morphogenesis,19,-0.6202340351737305,-1.5291616219783215,0.034506935682119586,0.36977932233929106,0.32539892941619475,327,"tags=21%, list=3%, signal=21%",3082/6662/7042/2263,0.3217759180753611
GO:2000253,positive regulation of feeding behavior,4,0.884784192517369,1.5281758806255128,0.03130501506555292,0.35234925902759806,0.3100607977288926,735,"tags=50%, list=6%, signal=47%",8013/23596,0.3217759180753611
GO:0045926,negative regulation of growth,132,0.4464668077728583,1.527058940926436,0.007220830728909198,0.20016688761602427,0.17614313997542103,701,"tags=16%, list=5%, signal=15%",247/4501/4499/4493/4502/58189/2487/79960/9706/2660/4771/94/10500/5167/4133/23286/3624/604/51379/4881/123879,0.40701791892395395
GO:0045685,regulation of glial cell differentiation,32,-0.5507917201002324,-1.5260642156518232,0.025820667147411026,0.33132280377219986,0.2915579079884916,1005,"tags=34%, list=8%, signal=32%",4192/274/5270/3569/5764/4851/22891/11221/26011/146433/1959,0.35248785758361917
GO:0140467,integrated stress response signaling,46,-0.5046164324218907,-1.5240030066048196,0.028580125114246773,0.34383998882324346,0.3025727981374241,816,"tags=20%, list=6%, signal=18%",1054/4094/10347/51191/1649/116071/3725/9935/4778,0.35248785758361917
GO:0007369,gastrulation,76,0.4806256142701822,1.5232760926853135,0.029220420457399036,0.3451772404535005,0.3037495547123805,724,"tags=20%, list=6%, signal=19%",1843/1301/8013/91663/1294/4324/1847/3909/8516/1295/1284/5598/3624/3912/84913,0.35248785758361917
GO:0006633,fatty acid biosynthetic process,106,0.46026452654769057,1.5228264445573145,0.01521523962973389,0.2628613452248919,0.23131309717366547,1034,"tags=15%, list=8%, signal=14%",247/55301/5166/84532/2180/51422/3995/115908/5562/171586/23417/51129/5742/64410/64834/50640,0.3807304007227924
GO:0141193,nuclear receptor-mediated signaling pathway,139,0.44129074048191536,1.5225532215696826,0.007701370025833833,0.20016688761602427,0.17614313997542103,895,"tags=11%, list=7%, signal=10%",247/5187/3952/8013/10370/81606/55885/8202/9249/5468/81/3717/5165/6943/5536,0.40701791892395395
GO:0007596,blood coagulation,136,0.44600075686515356,1.5224938908779078,0.008402524757716925,0.20193414955028965,0.17769829762396117,1511,"tags=32%, list=12%, signal=28%",10218/7103/10630/9068/7057/5336/10855/114897/84959/9162/7414/10627/5154/3717/60/2159/51129/857/79987/3570/958/71/928/2316/7094/284/5156/5290/5795/4067/10398/2152/3315/81027/710/3705/5054/50848/79056/3690/7099/80274/2768,0.3807304007227924
GO:0050817,coagulation,136,0.44600075686515356,1.5224938908779078,0.008402524757716925,0.20193414955028965,0.17769829762396117,1511,"tags=32%, list=12%, signal=28%",10218/7103/10630/9068/7057/5336/10855/114897/84959/9162/7414/10627/5154/3717/60/2159/51129/857/79987/3570/958/71/928/2316/7094/284/5156/5290/5795/4067/10398/2152/3315/81027/710/3705/5054/50848/79056/3690/7099/80274/2768,0.3807304007227924
GO:0034389,lipid droplet organization,31,0.5735765421207648,1.5223179634790156,0.026167279889111796,0.33181015168245215,0.29198676508965693,1470,"tags=26%, list=12%, signal=23%",63924/57104/5562/8760/158747/1119/23761/550,0.35248785758361917
GO:0035904,aorta development,24,-0.5857533813203271,-1.5212598436660596,0.0339581176195809,0.3664854936480873,0.32250042140060964,1170,"tags=42%, list=9%, signal=38%",2022/4016/182/3516/1909/1281/6091/7042/6659/1959,0.3217759180753611
GO:0048706,embryonic skeletal system development,37,-0.5308530474789408,-1.5205178458786586,0.040149232708869255,0.4036235363591976,0.3551812085856754,1277,"tags=32%, list=10%, signal=29%",7474/5125/25902/3199/3200/56243/1909/116039/55959/7020/1277/2263,0.3217759180753611
GO:0043434,response to peptide hormone,310,0.4020788187638225,1.519247165080887,0.0015506803350963643,0.12233279744702706,0.10765058757186517,1809,"tags=28%, list=14%, signal=25%",28999/3625/3952/54206/688/5166/2308/6272/8660/8013/10580/5295/3164/8837/23189/57085/2660/5468/11031/5320/185/890/8614/5791/65010/5562/5167/5894/9475/3624/252983/2890/3717/847/5587/64900/3973/3667/2475/1036/857/6774/3795/55022/858/6776/6093/3480/23175/10014/5577/9882/109/6777/5290/1910/2796/2770/5781/59341/5795/4067/51763/3643/6655/1583/10999/490/694/29904/3690/2888/51141/5286/1072/3481/27131/81565/54741/4825/51094/4041/6844/6772/3265/2887/1147/5925,0.45505986738722953
GO:0046629,gamma-delta T cell activation,9,-0.730660063705486,-1.5182586188306535,0.0499001996007984,0.4481007482520342,0.39432032821461654,1408,"tags=56%, list=11%, signal=49%",619207/100507436/6932/3714/6659,0.2878571172551493
