category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,30/1750,63/5535,0.47619047619047616,1.5061224489795917,2.746998934681157,0.005517634599084745,0.019631245782449843,0.01963124578244984,6655/4233/3265/8503/5296/5290/5295/4893/1021/1643/1026/11186/5595/6777/5293/207/4616/5604/5894/3082/5925/5336/1029/6774/3799/7157/5291/2309/1019/6776,30
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,57/1750,135/5535,0.4222222222222222,1.3354285714285714,2.6827222839149236,0.0055602950482083364,0.019631245782449843,0.01963124578244984,6655/7187/5602/3265/836/8503/4088/5296/5290/5295/3717/5111/3569/1960/4893/1654/4792/1643/1026/1385/2185/5595/7048/7098/6772/57506/6777/5293/468/1147/5606/207/5604/5894/5925/5603/64135/3716/64764/890/148022/6774/5600/7157/3725/4609/5291/596/1432/90993/1959/7042/2002/9586/6776/4776/5970,57
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,27/1750,56/5535,0.48214285714285715,1.5249489795918367,2.6845167555510416,0.006719511706401814,0.02348435404459624,0.02348435404459624,6655/862/3265/8503/5296/5290/5295/4893/5595/6777/5293/1147/207/5604/8864/5894/83439/890/6774/7704/2475/4609/5291/5292/6776/5970/861,27
Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,23/1750,46/5535,0.5,1.5814285714285714,2.6923674380711766,0.0069351728337092465,0.023995698004633994,0.02399569800463399,57552/2776/196883/3949/23236/775/1385/8913/114/468/5332/183/64764/109/3164/5567/3708/185/90993/3709/949/107/9586,23
Organismal Systems,Endocrine system,hsa04919,Thyroid hormone signaling pathway,44/1750,101/5535,0.43564356435643564,1.3778783592644979,2.6059048290077014,0.007233194926000064,0.024779063805901207,0.02477906380590121,6009/1734/3091/3265/71/8503/5296/3690/5290/5295/4893/10231/477/3066/23236/5595/6772/5293/5332/5213/207/5604/5894/4854/8202/5336/7068/9882/6567/476/488/60/2099/2475/7157/2308/5567/4193/4609/5291/4851/481/1827/51196,44
Organismal Systems,Nervous system,hsa04730,Long-term depression,21/1750,42/5535,0.5,1.5814285714285714,2.571709296044158,0.009694392097359283,0.03272530871712711,0.0327253087171271,5321/3265/2776/4893/23236/5593/2977/5595/5592/5332/5604/5894/5516/8605/2890/3708/3709/2768/3480/2892/2770,21
Environmental Information Processing,Signal transduction,hsa04392,Hippo signaling pathway - multiple species,14/1750,25/5535,0.56,1.7712,2.6276461787286327,0.009825698893864516,0.03272530871712711,0.0327253087171271,8463/9770/4771/11186/23286/7005/126374/7003/84962/10413/79633/8642/55233/7004,14
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,33/1750,73/5535,0.4520547945205479,1.4297847358121332,2.5132878345398737,0.009836508978558436,0.03272530871712711,0.0327253087171271,2212/71/8503/5296/3690/5290/5295/10105/5879/291/3066/23236/9734/1182/5595/1183/5293/5332/7417/207/5604/5894/5336/5603/10014/834/60/5600/2475/51564/5291/1432/5970,33
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,16/1750,30/5535,0.5333333333333333,1.686857142857143,2.5648031861339353,0.010850505686078019,0.03575499968936185,0.035754999689361855,4055/3570/1435/3569/6356/8743/8794/53833/6387/6347/8764/8795/6354/7133/146433/51554,16
Organismal Systems,Nervous system,hsa04720,Long-term potentiation,24/1750,50/5535,0.48,1.5181714285714285,2.502509926347158,0.011023340531312188,0.03598184739466054,0.03598184739466054,3265/2776/4893/23236/775/801/5595/114/468/814/5332/5908/815/5604/5894/6196/2890/10411/5567/3708/5499/3709/5500/107,24
