gene_id	gene_name	SRX384345	SRX384346	SRX384349	SRX384350	SRX384353	SRX384354	SRX384357	SRX384358
FKBP8	FKBP8	5393.035	4757.138	6354.894	3473.325	5962.401	7999.954	4497.608	5055.36
FKBP9	FKBP9	5809.306	5100.331	8867.523	5543.749	6657.758	8220.231	7054.848	7237.407
FKBP9L	FKBP9L	28.772	11.182	231.405	130.265	67.477	92.627	84.132	62.134
FKBPL	FKBPL	95	76	95	44	83	83	76	63
FKRP	FKRP	391	524.001	488	405.185	468	849.011	334.615	640.001
FKSG29	FKSG29	1	1	0	0	1	0	1	0
FKTN	FKTN	973.625	923.178	1274.001	858.539	1524.939	1892.608	1017.004	1059.382
FLAD1	FLAD1	266	304	303.003	185.999	366	406.051	207	249
FLCN	FLCN	1545.364	1277.373	1175.838	597.097	1518.605	1357.821	1386.315	1228
FLG	FLG	418.144	211.049	225.712	54.269	49.193	43	192.673	135.836
FLG-AS1	FLG-AS1	118.856	65.024	67.288	35.742	10.813	13	67.868	39.219
FLG2	FLG2	4	3	4	1	2	0	2	2
FLI1	FLI1	24	21	67	31	23	50	41	43
FLII	FLII	3727.246	3642.505	4082.91	2287.832	4125.835	6061.671	3104.536	3777.814
FLJ10038	FLJ10038	245.399	195.301	199.022	189.464	265.009	272.254	190.649	281.223
FLJ12825	FLJ12825	2.002	3	2	0	5.005	4	6	4
FLJ13197	FLJ13197	30.047	13.846	32.719	20.723	29.588	13.73	34.788	22.852
FLJ13224	FLJ13224	1	0	1	1	0	1	2	2
FLJ16171	FLJ16171	0	0	0	1	1	2	1	0
FLJ16779	FLJ16779	0	0	0	0	0	0	1	0
FLJ20021	FLJ20021	73	56	107	40	71	74	69	77
FLJ20444	FLJ20444	0	0	1	0	0	0	0	0
FLJ20464	FLJ20464	32.014	13	51.101	13.02	26	23	26	20.009
FLJ20518	FLJ20518	0	0	0	0	0	0	0	0
FLJ20712	FLJ20712	0	0	1	0	1	0	0	1
FLJ21408	FLJ21408	1	0	3	0	3	2	1	0
FLJ22184	FLJ22184	0	0	3	0	1	0	3	2
FLJ22447	FLJ22447	5	2	12	1	9	11.996	7	6.065
FLJ22763	FLJ22763	0	0	0	0	0	0	0	0
FLJ23867	FLJ23867	17361.239	16542.956	15483.793	6973.711	14411.801	17422.797	9316.026	8947.516
FLJ25363	FLJ25363	0	1	0	0	0	1	1	0
FLJ25715	FLJ25715	0	1	0	0	0	2	0	1
FLJ25758	FLJ25758	0	0	0	0	0	0	0	0
FLJ25917	FLJ25917	0	0	2	0	0	0	1	1
FLJ26245	FLJ26245	0	0	0	0	0	0	0	0
FLJ26850	FLJ26850	5	2	4	0	7	2	4	3
FLJ27255	FLJ27255	0	0	0	0	0	0	0	0
FLJ27354	FLJ27354	4	9	5	5	7	4	0	0
FLJ30375	FLJ30375	0	0	0	0	0	0	0	0
FLJ30403	FLJ30403	8.108	7	9.181	14.144	8.301	12.168	4.189	11.19
FLJ30679	FLJ30679	0	1	1	0	2	2	1	0
FLJ31104	FLJ31104	2	2.005	6	6.012	6	2	4	3
FLJ31306	FLJ31306	288	249	416.604	247	417.002	439	312.963	256.003
FLJ31356	FLJ31356	2	8	12.253	10.8	27.398	39	12	29
FLJ31662	FLJ31662	0	0	0	0	1	0	0	0
FLJ31945	FLJ31945	3	1	4	2	8	6	8	5
