gene_id	gene_name	SRX384345	SRX384346	SRX384349	SRX384350	SRX384353	SRX384354	SRX384357	SRX384358
VENTXP1	VENTXP1	0	0	0	0	0	0	0	0
VENTXP7	VENTXP7	0	0	0	0	0	0	0	0
VEPH1	VEPH1	212.043713629319	302.016688757065	813.825473242301	682.122206738224	614.713483565235	900.852060255254	481.077800454386	1007.69262102254
VEZF1	VEZF1	1622.02976657376	1531.38476573596	1829.84783114876	1218.54860773875	2010.41317178759	2452.43934032616	1265.05885583849	1623.87825537865
VEZT	VEZT	959.30760325032	820.714432032039	1592.01598927476	949.99379706637	1316.03896007681	1435.76614402862	1131.43410745608	1202.23199918175
VGF	VGF	0	12.6513975404317	1.00499109064915	0	2.00787876271147	0	2.01469918800827	4.02766281306179
VGLL1	VGLL1	0	0	0	0	0	0	0	0
VGLL2	VGLL2	0	0	0	0	0.994701898694556	0	0	0
VGLL3	VGLL3	5972.55400579293	15019.427337219	11498.7538131009	14030.9872902809	6195.44823688194	19566.7869516761	7259.21799453242	20344.3285862372
VGLL4	VGLL4	932.972129837816	943.717583653318	1016.60637650109	547.167925893426	1216.88740548109	1190.49644398015	783.329999852788	952.782676915857
VHL	VHL	884.433753124089	762.760139324877	918.810698757977	607.827514361955	979.039711974534	1112.33739500193	799.018911920693	785.607070894147
VHLL	VHLL	0	0	0	0	0.994691474186766	0	0	0
VIL1	VIL1	0	0	0	0	0	0	0	1.00188955321037
VILL	VILL	167.966239416363	130.556753750635	184.136036004043	78.8203469174201	118.35908440347	122.045108937909	113.812269329032	120.337083391847
VIM	VIM	96461.5957543293	62539.9475931343	116472.950911931	56372.7839477758	114700.640498764	83379.2904228113	103102.109228218	82800.2263276816
VIM-AS1	VIM-AS1	24.9813472335008	23.5484741188866	41.1940884009103	8.91913441481347	18.5491553272401	32.5303938362068	27.9977350681631	24.1581437565601
VIMP	VIMP	610.829580523639	908.007011400982	725.554098460929	661.564529414424	679.283209931589	1323.3760399085	547.874902323017	885.494554303142
VIP	VIP	0	0	0	0	0	0	0	1.00189848941206
VIPAS39	VIPAS39	494.190973304228	380.614401485375	614.009687645736	326.177527484441	534.100093943583	563.174326024229	416.703644733854	430.263080967231
VIPR1	VIPR1	0	1.68740397649135	0	0	0	0	0	0.631395073300407
